filename;garmin_product;time_created;num_sessions;timestamp_utc;timestamp_local;total_timer_time;name;sport;sub_sport
2023-03-25-10-38-22.fit;4024;2023-03-25 04:53:19;1;2023-03-25 08:59:53;2023-03-25 14:44:53;12258.11;Hike;hiking;generic
2023-03-26-07-47-00.fit;4024;2023-03-26 02:02:00;1;2023-03-26 10:14:40;2023-03-26 15:59:40;24392.606;Hike;hiking;generic
2023-03-27-06-44-53.fit;4024;2023-03-27 00:59:53;1;2023-03-27 01:41:49;2023-03-27 07:26:49;2297.631;Hike;hiking;generic
2023-03-27-09-01-27.fit;4024;2023-03-27 03:16:27;1;2023-03-27 06:33:33;2023-03-27 12:18:33;8147.292;Hike;hiking;generic
2023-03-28-08-15-28.fit;4024;2023-03-28 02:30:28;1;2023-03-28 04:40:33;2023-03-28 10:25:33;7568.789;Hike;hiking;generic
2023-03-28-11-01-28.fit;4024;2023-03-28 05:16:28;1;2023-03-28 07:36:00;2023-03-28 13:21:00;6621.793;Hike;hiking;generic
2023-03-29-07-37-23.fit;4024;2023-03-29 01:52:12;1;2023-03-29 09:48:53;2023-03-29 15:33:53;19054.369;Hike;hiking;generic
2023-03-30-07-56-32.fit;4024;2023-03-30 02:11:32;1;2023-03-30 08:27:20;2023-03-30 14:12:20;15944.923;Hike;hiking;generic
2023-03-31-09-11-18.fit;4024;2023-03-31 03:26:18;1;2023-03-31 05:11:20;2023-03-31 10:56:20;6298.095;Hike;hiking;generic
2023-04-01-07-54-15.fit;4024;2023-04-01 02:09:15;1;2023-04-01 08:14:03;2023-04-01 13:59:03;17409.201;Hike;hiking;generic
2023-04-02-07-47-16.fit;4024;2023-04-02 02:02:16;1;2023-04-02 09:14:27;2023-04-02 14:59:27;21109.942;Hike;hiking;generic
2023-04-02-15-29-47.fit;4024;2023-04-02 09:44:47;1;2023-04-02 11:18:48;2023-04-02 17:03:48;5546.561;Hike;hiking;generic
2023-04-03-08-05-27.fit;4024;2023-04-03 02:20:27;1;2023-04-03 11:08:54;2023-04-03 16:53:54;25887.784;Hike;hiking;generic
2023-04-04-08-59-44.fit;4024;2023-04-04 03:14:25;1;2023-04-04 09:08:00;2023-04-04 14:53:00;16584.162;Hike;hiking;generic
2023-04-05-08-50-04.fit;4024;2023-04-05 03:05:04;1;2023-04-05 04:37:28;2023-04-05 10:22:28;5538.114;Hike;hiking;generic
2023-04-06-08-18-11.fit;4024;2023-04-06 02:33:11;1;2023-04-06 08:41:40;2023-04-06 14:26:40;17296.098;Hike;hiking;generic
2023-04-07-08-05-17.fit;4024;2023-04-07 02:20:17;1;2023-04-07 05:44:15;2023-04-07 11:29:15;12220.879;Hike;hiking;generic
