filename;name;start_time_local;avg_cadence;avg_heart_rate;avg_speed;avg_temperature;enhanced_avg_speed;enhanced_max_speed;max_cadence;max_heart_rate;max_speed;max_temperature;sport;start_position_lat;start_position_lon;start_time_utc;sub_sport;timestamp;total_anaerobic_effect;total_ascent;total_calories;total_descent;total_distance;total_elapsed_time;total_timer_time;total_training_effect
2023-03-25-10-38-22.fit;Hike;2023-03-25 10:38:22;28;99;;;;;115;159;;;hiking;27.687262231484056;86.73215042799711;2023-03-25 04:53:22;generic;2023-03-25 08:59:53;0.0;201;811;414;8478.61;14784.718;12258.11;2.0
2023-03-26-07-47-00.fit;Hike;2023-03-26 07:47:00;20;120;;;;;118;163;;;hiking;27.738709431141615;86.71196923591197;2023-03-26 02:02:00;generic;2023-03-26 10:14:40;1.6;1144;2261;266;12324.29;29561.595;24392.606;3.2
2023-03-27-06-44-53.fit;Hike;2023-03-27 06:44:53;16;90;;;;;100;138;;;hiking;27.804968459531665;86.71442496590316;2023-03-27 00:59:53;generic;2023-03-27 01:41:49;0.0;42;132;41;1087.19;2488.898;2297.631;0.6
2023-03-27-09-01-27.fit;Hike;2023-03-27 09:01:27;31;111;;;;;107;151;;;hiking;27.804580461233854;86.7138772085309;2023-03-27 03:16:27;generic;2023-03-27 06:33:33;0.0;205;663;188;6069.88;11694.466;8147.292;1.8
2023-03-28-08-15-28.fit;Hike;2023-03-28 08:15:28;7;124;;;;;94;159;;;hiking;27.804998634383082;86.71445690095425;2023-03-28 02:30:28;generic;2023-03-28 04:40:33;0.1;328;736;34;3014.56;7794.493;7568.789;2.6
2023-03-28-11-01-28.fit;Hike;2023-03-28 11:01:28;24;112;;;;;83;153;;;hiking;27.8237740136683;86.70465166680515;2023-03-28 05:16:28;generic;2023-03-28 07:36:00;0.0;90;530;406;4443.94;8273.064;6621.793;1.9
2023-03-29-07-37-23.fit;Hike;2023-03-29 07:37:23;19;117;;;;;115;154;;;hiking;27.805120842531323;86.71453175134957;2023-03-29 01:52:23;generic;2023-03-29 09:48:53;0.0;730;1690;536;10940.15;28596.676;19054.369;2.4
2023-03-30-07-56-32.fit;Hike;2023-03-30 07:56:32;14;114;;;;;107;153;;;hiking;27.839353373274207;86.77045128308237;2023-03-30 02:11:32;generic;2023-03-30 08:27:20;0.2;629;1337;124;9867.86;22540.51;15944.923;2.0
2023-03-31-09-11-18.fit;Hike;2023-03-31 09:11:18;15;112;;;;;80;147;;;hiking;27.89092395454645;86.82813327759504;2023-03-31 03:26:18;generic;2023-03-31 05:11:20;0.0;142;523;146;3541.95;6298.095;6298.095;1.9
2023-04-01-07-54-15.fit;Hike;2023-04-01 07:54:15;10;120;;;;;112;151;;;hiking;27.890881039202213;86.82812212966383;2023-04-01 02:09:15;generic;2023-04-01 08:14:03;0.0;583;1520;72;9357.55;21897.423;17409.201;2.3
2023-04-02-07-47-16.fit;Hike;2023-04-02 07:47:16;5;115;;;;;88;147;;;hiking;27.94810957275331;86.8104559276253;2023-04-02 02:02:16;generic;2023-04-02 09:14:27;0.0;449;1689;157;8702.17;25908.026;21109.942;2.1
2023-04-02-15-29-47.fit;Hike;2023-04-02 15:29:47;18;109;;;;;93;139;;;hiking;27.997501445934176;86.84732481837273;2023-04-02 09:44:47;generic;2023-04-02 11:18:48;0.0;67;444;148;3393.73;5633.378;5546.561;1.1
2023-04-03-08-05-27.fit;Hike;2023-04-03 08:05:27;26;117;;;;;88;153;;;hiking;27.9798620659858;86.82835740968585;2023-04-03 02:20:27;generic;2023-04-03 11:08:54;0.6;199;2110;1345;18840.19;31625.635;25887.784;2.3
2023-04-04-08-59-44.fit;Hike;2023-04-04 08:59:44;21;111;;;;;80;147;;;hiking;27.85724957473576;86.79422504268587;2023-04-04 03:14:44;generic;2023-04-04 09:08:00;0.0;450;1298;821;10324.7;21095.548;16584.162;2.1
2023-04-05-08-50-04.fit;Hike;2023-04-05 08:50:04;27;110;;;;;115;135;;;hiking;27.824466275051236;86.72926328144968;2023-04-05 03:05:04;generic;2023-04-05 04:37:28;0.0;102;433;170;4033.33;5538.114;5538.114;1.0
2023-04-06-08-18-11.fit;Hike;2023-04-06 08:18:11;22;99;;;;;118;144;;;hiking;27.803979562595487;86.71150395646691;2023-04-06 02:33:11;generic;2023-04-06 08:41:40;0.0;241;1087;1090;11393.65;22088.52;17296.098;1.0
2023-04-07-08-05-17.fit;Hike;2023-04-07 08:05:17;26;108;;;;;111;145;;;hiking;27.73858512751758;86.71173630282283;2023-04-07 02:20:17;generic;2023-04-07 05:44:15;0.0;422;919;193;7626.08;12220.879;12220.879;2.0
